Point	X	Y	Z
391	3633.697 m	-1234.959 m	9313.247 m
392	3638.741 m	-1234.779 m	9324.522 m
393	3643.781 m	-1234.6 m	9335.814 m
394	3648.816 m	-1234.42 m	9347.123 m
395	3653.847 m	-1234.239 m	9358.448 m
396	3658.872 m	-1234.058 m	9369.791 m
397	3663.893 m	-1233.877 m	9381.15 m
398	3668.909 m	-1233.696 m	9392.526 m
399	3673.919 m	-1233.514 m	9403.917 m
400	3678.923 m	-1233.332 m	9415.325 m
401	3683.922 m	-1233.15 m	9426.749 m
402	3688.916 m	-1232.967 m	9438.188 m
403	3693.903 m	-1232.784 m	9449.643 m
404	3698.884 m	-1232.601 m	9461.113 m
405	3703.859 m	-1232.418 m	9472.598 m
406	3708.828 m	-1232.234 m	9484.099 m
407	3713.79 m	-1232.05 m	9495.614 m
408	3718.745 m	-1231.866 m	9507.144 m
409	3723.693 m	-1231.682 m	9518.688 m
410	3728.635 m	-1231.498 m	9530.247 m
411	3733.569 m	-1231.313 m	9541.82 m
412	3738.496 m	-1231.129 m	9553.406 m
413	3743.415 m	-1230.944 m	9565.007 m
414	3748.327 m	-1230.759 m	9576.621 m
415	3753.223 m	-1230.574 m	9588.23 m
416	3758.009 m	-1230.393 m	9599.609 m
417	3762.788 m	-1230.212 m	9611.001 m
418	3767.558 m	-1230.031 m	9622.406 m
419	3772.321 m	-1229.85 m	9633.822 m
420	3777.075 m	-1229.668 m	9645.251 m
421	3781.821 m	-1229.487 m	9656.691 m
422	3786.559 m	-1229.306 m	9668.144 m
423	3791.288 m	-1229.124 m	9679.607 m
424	3796.009 m	-1228.943 m	9691.083 m
425	3800.72 m	-1228.762 m	9702.569 m
426	3805.423 m	-1228.58 m	9714.066 m
427	3810.116 m	-1228.399 m	9725.575 m
428	3814.8 m	-1228.217 m	9737.094 m
429	3819.475 m	-1228.036 m	9748.624 m
430	3824.14 m	-1227.855 m	9760.164 m
431	3828.795 m	-1227.674 m	9771.714 m
432	3833.44 m	-1227.493 m	9783.274 m
433	3838.076 m	-1227.312 m	9794.845 m
434	3842.701 m	-1227.131 m	9806.425 m
435	3847.316 m	-1226.95 m	9818.015 m
436	3851.92 m	-1226.769 m	9829.614 m
437	3856.514 m	-1226.588 m	9841.222 m
438	3861.097 m	-1226.408 m	9852.84 m
439	3865.669 m	-1226.228 m	9864.467 m
440	3870.23 m	-1226.048 m	9876.102 m
441	3874.78 m	-1225.868 m	9887.746 m
442	3879.319 m	-1225.688 m	9899.399 m
443	3883.846 m	-1225.508 m	9911.059 m
444	3888.362 m	-1225.329 m	9922.728 m
445	3892.866 m	-1225.15 m	9934.405 m
446	3897.358 m	-1224.971 m	9946.09 m
447	3901.831 m	-1224.793 m	9957.765 m
448	3906.268 m	-1224.615 m	9969.384 m
449	3910.693 m	-1224.438 m	9981.011 m
450	3915.106 m	-1224.262 m	9992.644 m
451	3919.506 m	-1224.085 m	10004.285 m
452	3923.894 m	-1223.909 m	10015.932 m
453	3928.269 m	-1223.733 m	10027.586 m
454	3932.631 m	-1223.558 m	10039.246 m
455	3936.98 m	-1223.383 m	10050.913 m
456	3941.316 m	-1223.208 m	10062.586 m
457	3945.639 m	-1223.033 m	10074.264 m
458	3949.948 m	-1222.859 m	10085.949 m
459	3954.244 m	-1222.686 m	10097.639 m
460	3958.526 m	-1222.512 m	10109.335 m
461	3962.794 m	-1222.339 m	10121.036 m
462	3967.048 m	-1222.167 m	10132.742 m
463	3971.289 m	-1221.994 m	10144.453 m
464	3975.515 m	-1221.823 m	10156.169 m
465	3979.726 m	-1221.651 m	10167.89 m
466	3983.923 m	-1221.48 m	10179.616 m
467	3988.106 m	-1221.31 m	10191.346 m
468	3992.273 m	-1221.14 m	10203.08 m
469	3996.426 m	-1220.97 m	10214.818 m
470	4000.563 m	-1220.801 m	10226.56 m
471	4004.686 m	-1220.633 m	10238.305 m
472	4008.793 m	-1220.465 m	10250.055 m
473	4012.884 m	-1220.297 m	10261.808 m
474	4016.96 m	-1220.13 m	10273.564 m
475	4021.02 m	-1219.964 m	10285.323 m
476	4025.064 m	-1219.798 m	10297.085 m
477	4029.092 m	-1219.632 m	10308.85 m
478	4033.104 m	-1219.467 m	10320.618 m
479	4037.104 m	-1219.303 m	10332.401 m
480	4041.114 m	-1219.138 m	10344.267 m
481	4045.107 m	-1218.974 m	10356.135 m
482	4049.084 m	-1218.81 m	10368.004 m
483	4053.043 m	-1218.647 m	10379.876 m
484	4056.985 m	-1218.485 m	10391.75 m
485	4060.909 m	-1218.323 m	10403.625 m
486	4064.816 m	-1218.162 m	10415.501 m
487	4068.705 m	-1218.001 m	10427.378 m
488	4072.576 m	-1217.842 m	10439.257 m
489	4076.429 m	-1217.683 m	10451.137 m
490	4080.264 m	-1217.524 m	10463.017 m
491	4084.081 m	-1217.367 m	10474.898 m
492	4087.879 m	-1217.21 m	10486.779 m
493	4091.658 m	-1217.054 m	10498.661 m
494	4095.419 m	-1216.898 m	10510.543 m
495	4099.161 m	-1216.744 m	10522.424 m
496	4102.884 m	-1216.59 m	10534.306 m
497	4106.587 m	-1216.437 m	10546.187 m
498	4110.271 m	-1216.285 m	10558.067 m
499	4113.936 m	-1216.133 m	10569.947 m
500	4117.581 m	-1215.983 m	10581.826 m
501	4121.207 m	-1215.833 m	10593.704 m
502	4124.812 m	-1215.684 m	10605.581 m
503	4128.397 m	-1215.536 m	10617.456 m
504	4131.963 m	-1215.389 m	10629.33 m
505	4135.508 m	-1215.242 m	10641.202 m
506	4139.032 m	-1215.097 m	10653.072 m
507	4142.536 m	-1214.952 m	10664.94 m
508	4146.019 m	-1214.809 m	10676.806 m
509	4149.481 m	-1214.666 m	10688.67 m
510	4152.922 m	-1214.524 m	10700.531 m
511	4156.366 m	-1214.382 m	10712.474 m
512	4159.84 m	-1214.239 m	10724.594 m
513	4163.291 m	-1214.097 m	10736.711 m
514	4166.72 m	-1213.956 m	10748.825 m
515	4170.126 m	-1213.816 m	10760.936 m
516	4173.509 m	-1213.677 m	10773.042 m
517	4176.869 m	-1213.54 m	10785.145 m
518	4180.206 m	-1213.403 m	10797.244 m
519	4183.519 m	-1213.267 m	10809.339 m
520	4186.809 m	-1213.132 m	10821.43 m
521	4190.075 m	-1212.999 m	10833.516 m
522	4193.318 m	-1212.866 m	10845.597 m
523	4196.536 m	-1212.735 m	10857.673 m
524	4199.73 m	-1212.605 m	10869.745 m
525	4202.9 m	-1212.476 m	10881.811 m
526	4206.046 m	-1212.348 m	10893.872 m
527	4209.167 m	-1212.221 m	10905.927 m
528	4212.263 m	-1212.096 m	10917.977 m
529	4215.334 m	-1211.972 m	10930.02 m
530	4218.38 m	-1211.849 m	10942.058 m
531	4221.401 m	-1211.727 m	10954.089 m
532	4224.396 m	-1211.606 m	10966.114 m
533	4227.366 m	-1211.487 m	10978.133 m
534	4230.311 m	-1211.368 m	10990.144 m
535	4233.229 m	-1211.252 m	11002.149 m
536	4236.121 m	-1211.136 m	11014.146 m
537	4238.988 m	-1211.022 m	11026.137 m
538	4241.828 m	-1210.909 m	11038.12 m
539	4244.641 m	-1210.797 m	11050.095 m
540	4247.428 m	-1210.687 m	11062.062 m
541	4250.188 m	-1210.577 m	11074.022 m
542	4252.94 m	-1210.469 m	11086.054 m
543	4255.744 m	-1210.359 m	11098.432 m
544	4258.519 m	-1210.25 m	11110.801 m
545	4261.265 m	-1210.143 m	11123.161 m
546	4263.98 m	-1210.037 m	11135.511 m
547	4266.667 m	-1209.933 m	11147.851 m
548	4269.323 m	-1209.83 m	11160.181 m
549	4271.949 m	-1209.729 m	11172.502 m
550	4274.545 m	-1209.63 m	11184.812 m
551	4277.11 m	-1209.532 m	11197.111 m
552	4279.645 m	-1209.435 m	11209.4 m
553	4282.149 m	-1209.34 m	11221.678 m
554	4284.622 m	-1209.247 m	11233.945 m
555	4287.064 m	-1209.155 m	11246.2 m
556	4289.474 m	-1209.065 m	11258.445 m
557	4291.853 m	-1208.977 m	11270.677 m
558	4294.201 m	-1208.89 m	11282.898 m
559	4296.517 m	-1208.805 m	11295.107 m
560	4298.8 m	-1208.722 m	11307.303 m
561	4301.052 m	-1208.64 m	11319.487 m
562	4303.271 m	-1208.56 m	11331.659 m
563	4305.458 m	-1208.482 m	11343.817 m
564	4307.612 m	-1208.406 m	11355.963 m
565	4309.733 m	-1208.331 m	11368.096 m
566	4311.821 m	-1208.258 m	11380.215 m
567	4313.876 m	-1208.187 m	11392.32 m
568	4315.898 m	-1208.117 m	11404.412 m
569	4317.886 m	-1208.05 m	11416.49 m
570	4319.841 m	-1207.984 m	11428.554 m
571	4321.762 m	-1207.92 m	11440.603 m
572	4323.662 m	-1207.857 m	11452.729 m
573	4325.606 m	-1207.794 m	11465.349 m
574	4327.512 m	-1207.733 m	11477.953 m
575	4329.38 m	-1207.674 m	11490.54 m
576	4331.209 m	-1207.617 m	11503.11 m
577	4333.001 m	-1207.562 m	11515.663 m
578	4334.753 m	-1207.509 m	11528.199 m
579	4336.466 m	-1207.458 m	11540.717 m
580	4338.141 m	-1207.41 m	11553.217 m
581	4339.776 m	-1207.363 m	11565.7 m
